,Value
d_dim1,2.0
d_dim2,1.0
d_dim3,0.0
g_dim1,1.0
g_dim2,1.0
g_dim3,0.0
tuned_val_roc,0.8288951771095445
untuned_val_roc,0.7800435039407415
tuned_test_roc,0.8169421637913116
untuned_test_roc,0.7780471835377261
elapsed_time,10484.560725927353
