,val_roc
0,0.7928342182720265
0,0.806244418426762
0,0.7847127929492816
0,0.7682296353900492
0,0.7957479769056003
0,0.8283555062083209
0,0.741442527220967
0,0.8166654220800107
0,0.7320339826538664
0,0.671430847117849
0,0.7869191930780998
0,0.7550289038118438
0,0.7172760145249233
0,0.8387184475729036
0,0.7954758368695732
0,0.7582808893696869
0,0.7515910592431648
0,0.814995012147652
0,0.7878672564106272
0,0.79339451438373
0,0.7710803909691024
0,0.7966435487458612
0,0.8116610894594298
0,0.8094893741701006
