,val_roc
0,0.8497427220529392
0,0.8702442475890058
0,0.8680929253936397
0,0.8579491683397846
0,0.8437238081380581
0,0.8639828713927269
0,0.8719753062512161
0,0.8545265108231952
0,0.8392837507694663
0,0.8541283646781267
0,0.8438466309348713
0,0.8730808772200453
0,0.8658959757229997
0,0.8339155920887794
0,0.8596562858412772
0,0.858389427052875
0,0.8320343540402929
0,0.8762310631055837
0,0.8407777521491668
0,0.8746184501858723
0,0.8559639420918367
0,0.8730475850796564
0,0.8748707939989789
0,0.8518608847459259
0,0.8487937965733501
0,0.8469868026506912
0,0.8722839880588653
0,0.854755344549115
