,val_roc
0,0.9521572460781489
0,0.9481566497081259
0,0.9477203368617058
0,0.950995261145813
0,0.9515646585288546
0,0.9435655596581887
0,0.953308446457441
0,0.9480912219186787
0,0.9465375708386408
0,0.9487901690265926
0,0.949655117198372
0,0.9514609331930035
0,0.9609137402815756
0,0.9482276386345287
0,0.9499879073414618
0,0.9556689577200042
0,0.9490589498078796
0,0.9394775611275896
0,0.9554540997039358
0,0.9481251065790772
0,0.9410709506964007
0,0.9515885916810164
0,0.9405567369031509
0,0.9412859212860916
0,0.9495275262545328
0,0.9477812166768005
0,0.9549151872578907
0,0.954082615259967
