alpha_1,alpha_2,alpha_3,alpha_4,generated_data_size,train_roc,val_roc
0.008930154991028724,0.49531560633792726,0.18741262757384664,0.30834161109719743,10000.0,0.9343855832166468,0.8806681361189614
0.046305690926400085,0.24245226710890413,0.31790158760146014,0.3933404543632356,10000.0,0.93364946499349,0.8741117729895161
0.12345167462212996,0.7638427132388786,0.04968589812010853,0.06301971401888298,10000.0,0.9257210955692795,0.8781252002004956
0.13648120403777161,0.33737933904129896,0.06154800848881072,0.46459144843211864,10000.0,0.9352935476077682,0.8766053675684415
0.22358276634095536,0.26360684100275633,0.27869604521342073,0.2341143474428675,10000.0,0.9175412792677367,0.8742363532399553
0.19503431947080754,0.3241012500945677,0.006468852105627301,0.4743955783289975,10000.0,0.9319996065798877,0.8734557453944436
0.1986599420274708,0.28483016730251304,0.33132829084991977,0.1851815998200964,10000.0,0.90938475447493,0.8794697185434701
0.21919247590013943,0.5556643954436248,0.22454516101858532,0.0005979676376502782,10000.0,0.9096244281705643,0.8802492321254033
0.06575896759031787,0.40783720807034307,0.11804948128841589,0.4083543430509231,10000.0,0.9392298693565899,0.8783293964161475
0.1434339780610015,0.18190460386684432,0.35239553824921405,0.32226587982294014,10000.0,0.9256355512439174,0.8724727319464085
0.18703464485559546,0.2492998130799954,0.41401097260956926,0.14965456945484001,10000.0,0.9089272249863067,0.8780613018394107
0.006754651317205048,0.4421381169459248,0.40198484255833655,0.1491223891785335,10000.0,0.9217806096247451,0.8763156861556557
0.12473530142816537,0.20986819292204875,0.5723838037064366,0.09301270194334935,10000.0,0.905583987204042,0.8741846575757459
0.27487774350045746,0.2717333997348761,0.3094617469608896,0.14392710980377676,10000.0,0.9036582119835451,0.8708939085596215
0.2944634540865498,0.21332566808472345,0.26119165340599176,0.231019224422735,10000.0,0.907313811825247,0.8748715235080313
0.14977140558128554,0.12738906738264888,0.41199419816617483,0.3108453288698907,10000.0,0.9202960007404545,0.8819775385489164
0.4279788642359595,0.28431768393348367,0.06820763566132296,0.21949581616923391,10000.0,0.9014855401849688,0.8764635443767651
0.08984636816190349,0.4944786437405944,0.19048006370369022,0.22519492439381192,10000.0,0.9258819964001819,0.8797881824043212
0.3763866287530668,0.06382188156943217,0.24938971678369995,0.3104017728938012,10000.0,0.9023351972025467,0.877658082290478
0.12315678551659746,0.3888977796373316,0.48790309609978594,4.2338746284771936e-05,10000.0,0.9080006536196568,0.8754886550068128
0.44351488150895735,0.14074435682202013,0.25125901631129444,0.1644817453577282,10000.0,0.8926048058858551,0.8681536736019987
0.033478475274013375,0.18335630737104708,0.43858322068171,0.3445819966732294,10000.0,0.9337495458305616,0.8755547750545573
0.24279178221559777,0.11646817759841933,0.37139364001999176,0.26934640016599115,10000.0,0.9074139133857522,0.8730377035479475
0.28942814607608064,0.26267458625940254,0.35294752058072076,0.09494974708379597,10000.0,0.8960277379809539,0.8767819419186116
0.000971770443647241,0.01711663114117966,0.18163445782298554,0.8002771405921876,10000.0,0.9560151530120463,0.8611164645285507
0.2411373352565324,0.006358613893289581,0.4143574891544572,0.33814656169572077,10000.0,0.9188091248210284,0.8721528753864575
0.3643779782125637,0.16064049946889689,0.2322347879992436,0.2427467343192959,10000.0,0.8993487404810214,0.8723695064155016
0.07129676632209633,0.36504655303697087,0.18779747530116717,0.3758592053397655,10000.0,0.934331773295075,0.8796982869933708
0.17927157932813165,0.289061560586638,0.16076322842369245,0.37090363166153806,10000.0,0.9244363835297094,0.8743816250198791
0.003777821600323919,0.20227770012182325,0.5342981802093857,0.259646298068467,10000.0,0.922038298874569,0.8759268909902582
0.10385213096347078,0.08489742805167484,0.6546845505626259,0.1565658904222285,10000.0,0.9012202253332021,0.8793589326460208
0.31059151959488984,0.5918194227745162,0.000957706068478954,0.09663135156211496,10000.0,0.911069062431177,0.8756143958398354
0.19000756149099646,0.32557167652996083,0.26675544663710077,0.21766531534194197,10000.0,0.9142261102225756,0.8730486130242301
0.198579321916868,0.18332202223305194,0.039775942203066926,0.5783227136470132,10000.0,0.9398394531544304,0.8727762077121841
0.08758597696948309,0.29935606158642536,0.2908995873139184,0.3221583741301732,10000.0,0.9323193736977711,0.8763160177506795
0.4674845757214638,0.308860031898267,0.07956269505055445,0.1440926973297147,10000.0,0.8923997274342284,0.8745427470419402
0.30224414804644856,0.19920587195528544,0.15622233722034476,0.34232764277792127,10000.0,0.9159659712515901,0.8695686558875293
0.22917079638323667,0.04093820113228348,0.2248882962670681,0.5050027062174118,10000.0,0.9301961875854093,0.8666786726171615
0.03446190634709002,0.4557723948740807,0.45819117898386597,0.05157451979496339,10000.0,0.9158669905588056,0.8783667340158265
0.17883432986051773,0.2756551309319142,0.3774432628335913,0.16806727637397675,10000.0,0.9094261448822574,0.8774244404367132
0.2275927845534623,0.21880400013565246,0.13509123084764527,0.4185119844632401,10000.0,0.9305717402750772,0.8700104399377291
0.3030234361694837,0.07633406390538276,0.4187059979611512,0.20193650196398244,10000.0,0.8999577467799602,0.8753667606760667
0.14958979893953805,0.3070028491547675,0.04473245233844074,0.4986748995672538,10000.0,0.9409652666744471,0.8785293482154949
0.24945253739805817,0.21372027185532272,0.25206164683277266,0.2847655439138465,10000.0,0.9178150180825447,0.8750644123333718
0.0571987342296864,0.33998612000834455,0.4218189414150865,0.18099620434688235,10000.0,0.9235144972069973,0.8776916397068858
0.2081259605858245,0.2537812951166425,0.17608237720317002,0.362010367094363,10000.0,0.9265688837735854,0.8748118364037484
0.14051691680703765,0.26010621960433095,0.24252632560770385,0.3568505379809276,10000.0,0.9260760055866517,0.8742476274707642
0.22689872603366354,0.30445483293745534,0.3256341320846581,0.14301230894422304,10000.0,0.9016676211440604,0.8750512148514249
0.11838454816521739,0.34600461509353475,0.4342788502466257,0.10133198649462219,10000.0,0.9138500418824247,0.8738513050983265
0.02587608911781332,0.3200206888730603,0.2795152574464297,0.3745879645626968,10000.0,0.9368832549320607,0.8717419628329728
0.27474902616576086,0.20227510469651588,0.19419510314120622,0.3287807659965172,10000.0,0.9115353673435878,0.8718122609780171
