alpha_1,alpha_2,alpha_3,alpha_4,generated_data_size,train_roc,val_roc
0.3525753205866234,0.010482057493626896,0.11039387399315301,0.5265487479265967,10000.0,0.9157566187605198,0.8673490582767643
0.09189578812692836,0.41052687174302843,0.3247405017885307,0.17283683834151234,10000.0,0.9028774707167067,0.8556007792217784
0.011686415819088001,0.3378562405149529,0.2979442101961553,0.3525131334698038,10000.0,0.9130328513444952,0.8627481773216328
0.2693030600108039,0.022460545159206573,0.3613147880024321,0.34692160682755746,10000.0,0.9142942486858818,0.85988223469049
0.1440278280860978,0.26735877923502827,0.4763123333437737,0.11230105933510023,10000.0,0.9021211872803608,0.849055425047123
0.3431755953407647,0.25276322701673304,0.2816385180750952,0.12242265956740708,10000.0,0.8888545903290888,0.8615124221464624
0.12504766424089236,0.39052190412325105,0.3497305767538196,0.1346998548820371,10000.0,0.8947564223846526,0.8587840251311889
0.528284023306012,0.1359669100578128,0.036048536315040826,0.29970053032113425,10000.0,0.8892648183599137,0.8686026201047123
0.2779337813550065,0.3434828623186762,0.3487985421297252,0.029784814196592155,10000.0,0.8912347389822588,0.8555430485281359
0.015403638102724807,0.26672751767158576,0.6589180239805325,0.05895082024515703,10000.0,0.9119560973995897,0.7938105335005811
0.5330949503706347,0.19677784957482045,0.06688611991493307,0.2032410801396118,10000.0,0.882369511772714,0.8665805536496212
0.4308108840208696,0.09002580549009641,0.15573331162755888,0.323429998861475,10000.0,0.8953054801712038,0.8753995222644172
0.12020282553102092,0.4084909978798908,0.146946177940282,0.32435999864880627,10000.0,0.9028300787181742,0.86049154054671
0.01118420547710098,0.2631526168608291,0.3874954759709697,0.3381677016911003,10000.0,0.9172128648649573,0.8651906731073915
0.1294533617941197,0.30294850762585745,0.09447523091941247,0.4731228996606104,10000.0,0.9180739880557398,0.8674578877635734
0.060726177978993094,0.3172037155693853,0.20820672792804024,0.4138633785235813,10000.0,0.9156930623292111,0.8734663232757026
0.03830517924408358,0.29018714529954,0.3519549151704787,0.31955276028589763,10000.0,0.918984949659903,0.8710890853906261
0.3786238683977753,0.15555348953766016,0.11813136508619952,0.34769127697836505,10000.0,0.8999058077941764,0.8579546064981749
0.06020035436218741,0.5133864754329592,0.4015124407005659,0.02490072950428758,10000.0,0.896402213629357,0.8415361431280843
0.22549439723297868,0.2787159104304906,0.09237753340824079,0.4034121589282898,10000.0,0.9110959266061404,0.8761923328068046
0.22854402447679123,0.184287195017246,0.14647823457079495,0.4406905459351677,10000.0,0.9054593924531801,0.8789079634136621
0.21173078835003334,0.1873946764861578,0.1505803216337368,0.45029421353007204,10000.0,0.9102371973336718,0.8681204809401171
0.2651815046019498,0.20297297633714972,0.09816239826242694,0.4336831207984736,10000.0,0.9064278590315156,0.8765981719564252
0.28260631668908776,0.21549471644105211,0.005765439735831718,0.4961335271340284,10000.0,0.9140098278748763,0.8606659926887276
0.2803102386597882,0.07412890877935326,0.18756312332799494,0.4579977292328637,10000.0,0.9163842889561407,0.8745310748971027
0.23755755674905502,0.2979205521002975,0.22354917032562174,0.2409727208250258,10000.0,0.8991798225134118,0.8629590385972629
0.26613463011159044,0.23491693934904864,0.0013595476282660226,0.49758888291109504,10000.0,0.9155015159910274,0.8665039883586272
0.22246277316147536,0.2457269639307974,0.21728035686379457,0.31452990604393255,10000.0,0.9044101486290246,0.8699269774702405
0.3590048969879963,0.05061149560178652,0.1975746486818399,0.3928089587283773,10000.0,0.9075444504310345,0.8719316020270802
0.40387024470922767,0.07824838483601483,0.1431250366823489,0.3747563337724087,10000.0,0.8942478700849941,0.8274883852211016
0.30891942194342825,0.22046996710383077,0.22536077519029504,0.24524983576244588,10000.0,0.890703890869682,0.84936603010591
0.14730113492423327,0.33168412643076145,0.2729294318751182,0.24808530676988721,10000.0,0.9080601667466609,0.8631572661024866
0.28396501703135846,0.11885880482453275,0.23898537614959517,0.3581908019945136,10000.0,0.9063246322150909,0.870024167971714
0.2628672690213991,0.005205559052883354,0.2677222329254127,0.4642049390003048,10000.0,0.9234810808085848,0.869092916506893
0.2545405939733835,0.36441835100787484,0.23532911035101228,0.14571194466772938,10000.0,0.8851013580218523,0.8628014646419563
0.44394899562720597,0.06313110310956473,0.11838293281508032,0.37453696844814904,10000.0,0.9023871109772628,0.8759094490920066
0.14074570624001403,0.22989762859605986,0.04256203756417953,0.5867946275997464,10000.0,0.9256128039686149,0.865087812331011
0.25719502658093735,0.3488002855510772,0.100125056330205,0.2938796315377803,10000.0,0.8967975896167641,0.8655618605770257
0.3659503986476918,0.2883942132877086,0.022939406875967815,0.32271598118863193,10000.0,0.8945195971176968,0.8711601462042251
0.28165889452460735,0.13563644437041908,0.2587141128742495,0.3239905482307242,10000.0,0.9045854153253604,0.8733250969550691
0.3506240934672845,0.11960828151578433,0.2382997184888322,0.29146790652809906,10000.0,0.8976054218710126,0.8693697983517604
0.2857051007456031,0.38315661006146967,0.22175637428661524,0.10938191490631197,10000.0,0.8842025069284438,0.8571961160407502
0.29751946801861234,0.14849813945052534,0.27343968676365393,0.28054270576720824,10000.0,0.8983707355534455,0.8666119888578766
0.16722983201467523,0.3226061113114459,0.18153679345791288,0.328627263215966,10000.0,0.903163164386334,0.8718519197428627
0.23685651126627916,0.25413322959670953,0.09524521310309784,0.41376504603391323,10000.0,0.904429527804795,0.8725805334886435
0.2561604609257031,0.2639710172916263,0.22659559372666782,0.253272928056003,10000.0,0.8990043523249407,0.8640271724879057
0.3625795082750932,0.27958403265932125,0.0759290361931441,0.2819074228724414,10000.0,0.8949772866279705,0.872637733630248
0.28821148280789566,0.2652761675247377,0.1585066427161257,0.28800570695124084,10000.0,0.8936295687509181,0.8696202189137292
0.19289587165422467,0.11592429136124503,0.1673889114037706,0.5237909255807598,10000.0,0.9230832063495997,0.8672206315240493
0.2520665464454605,0.054568739834028296,0.30087021689255183,0.39249449682795945,10000.0,0.9197645245415043,0.8613808120815187
0.11492259448565029,0.40104141895626255,0.08725540743656124,0.3967805791215259,10000.0,0.9115858781320726,0.8514261968292354
0.41838291635907066,0.2442723059566004,0.019122074858870696,0.31822270282545834,10000.0,0.8898911159086076,0.8731858602045782
0.2508613479981394,0.24721707704520707,0.23769153667736806,0.26423003827928554,10000.0,0.9001450110782523,0.8677142770359703
0.29334563503784156,0.23780678560966825,0.14345768828098254,0.3253898910715077,10000.0,0.9030395010515316,0.8718095750583242
0.2958296779338637,0.14122187205830417,0.20970487133544202,0.3532435786723901,10000.0,0.902990435150398,0.8714883921182781
0.30852772025136577,0.25575118178086076,0.08990450663683697,0.34581659133093656,10000.0,0.9043579012613658,0.8672785611747058
