,val_roc
0,0.7373101237154507
0,0.7904569472274479
0,0.8068634731766816
0,0.7522554761923395
0,0.8372688136073865
0,0.8316067622571116
0,0.8424280011040789
0,0.7584402539381221
0,0.8426946366627108
0,0.8359946597284608
0,0.8112874481866197
0,0.7665806464962276
0,0.7792021147273687
0,0.8469812318542913
0,0.8263206733448135
0,0.7767343514007966
0,0.7970762470924091
0,0.8514576983564958
0,0.8422347475242122
0,0.8457912367924044
0,0.8135384146866355
0,0.8323336848682712
0,0.8158339143983465
0,0.80307871389411
0,0.8412778637640518
0,0.8498097705667503
0,0.7717379770607868
0,0.8453098271368613
0,0.8487461795279334
0,0.8455045397348326
0,0.8493132733376246
0,0.8413835099386323
0,0.7932712605133859
