alpha_1,alpha_2,alpha_3,alpha_4,generated_data_size,train_roc,val_roc
0.9940467313691921,0.0019844228769359557,0.0019844228769359557,0.0019844228769359557,10000.0,0.9996960816237925,0.999934869739479
0.09041978764931768,0.2556492483414227,0.3718265403970065,0.28210442361225313,10000.0,0.9999902414634312,0.4998997995991984
0.6266344547395876,0.017456597602410848,0.13962005267727445,0.2162888949807271,10000.0,0.9997391113615508,0.17787074148296594
0.12047520391074376,0.3449662235323993,0.2912619851275446,0.24329658742931223,10000.0,0.9999681447749486,0.4998496993987976
0.40925011865876726,0.09999313238865039,0.358283844405095,0.13247290454748745,10000.0,0.9997237380434721,0.2403807615230461
0.4354846176936338,0.16224151083063656,0.21141139118368615,0.19086248029204347,10000.0,0.9997584627838692,0.4998496993987976
0.4895570275828494,0.02157179900304423,0.09531994846580669,0.3935512249482997,10000.0,0.9999066175892769,0.4998997995991984
0.04619472309022114,0.3505832903179779,0.3478603554861533,0.25536163110564764,10000.0,0.9999968271649675,0.4998496993987976
0.1542942269900235,0.37844217028024146,0.02109032579248532,0.4461732769372498,10000.0,1.0,0.4998496993987976
0.29016522596450484,0.00799006897255299,0.5595722169526106,0.1422724881103315,10000.0,0.9997435375355832,0.2460420841683367
0.4566640116106885,0.05466488456609171,0.10409597010928996,0.3845751337139298,10000.0,0.9998372271404472,0.4998997995991984
0.05453832375385791,0.24760222402992169,0.3719504921715059,0.3259089600447146,10000.0,0.9999932803059592,0.4998496993987976
0.3509692657449488,0.29748839521140885,0.10105773707868751,0.25048460196495487,10000.0,0.9998770414684235,0.4998997995991984
0.25346456912184734,0.3090533516095208,0.2832302619192474,0.15425181734938445,10000.0,0.9998418081632108,0.4998496993987976
0.40584086829676913,0.0136223335877826,0.2509479293873797,0.32958886872806853,10000.0,0.9996015355149606,0.4998496993987976
0.20250949924906572,0.3320646236905003,0.2579996537363505,0.20742622332408356,10000.0,0.9999344733543669,0.4998496993987976
0.41617548053022513,0.11585038184436147,0.4425872943722489,0.025386843253164253,10000.0,0.9996285537776988,0.2797244488977956
0.0753299612292209,0.18058112587622585,0.4627809569527103,0.2813079559418429,10000.0,0.9999768137173024,0.4998997995991984
0.06037261317869239,0.4981553726230855,0.31579036691074686,0.12568164728747513,10000.0,0.999994815619114,0.4998496993987976
0.033355469913025924,0.6368978675677259,0.2475671284849172,0.08217953403433106,10000.0,0.9999982822872033,0.4998997995991984
0.2389686752503413,0.1848241192050315,0.23165545970815202,0.34455174583647513,10000.0,0.9999269261853447,0.4998496993987976
0.36011990452764076,0.1810217269620546,0.0007709099140357801,0.45808745859626887,10000.0,0.7223627808771467,0.9990130260521042
0.3832801651500984,0.08797589123335331,0.007854984670037111,0.5208889589465112,10000.0,0.9995156016157559,0.5472545090180362
0.34123283720613856,0.1551197212994162,0.048246560157242296,0.4554008813372029,10000.0,0.9999531603894034,0.4998997995991984
0.48397328048207766,0.40720326773529664,0.10563571703168684,0.003187734750938802,10000.0,0.9998124247493465,0.7730961923847695
0.4314654963395995,0.06530499964633926,0.02331444475475963,0.47991505925930145,10000.0,0.9997217387262219,0.4998496993987976
0.14490906805263395,0.31236260459344956,0.20525220035453798,0.3374761269993786,10000.0,0.9999772768684952,0.4998496993987976
0.28984013809565284,0.2018081475184467,0.07032463476874042,0.43802707961716003,10000.0,0.9999615945222815,0.4998496993987976
0.49777599543692647,0.16643619175644447,0.24899884992602883,0.08678896288060023,10000.0,0.9995734614871179,0.19569138276553105
0.7287328611035518,0.24125257562902347,0.0021731425004480973,0.027841420766976533,10000.0,0.964363721215443,0.9998647294589177
0.47410023523636013,0.2111132604317274,0.3037278078006856,0.011058696531227012,10000.0,0.999699141905317,0.21953907815631263
0.4519409106027773,0.1269281646653692,0.29633922555045533,0.1247916991813982,10000.0,0.9996023337413238,0.28972945891783564
0.4801035088189187,0.055825259060965075,0.2317695435045355,0.2323016886155807,10000.0,0.9997638724249736,0.3029058116232465
0.6341974157666123,0.12732629203009924,0.1191509115289647,0.11932538067432372,10000.0,0.999779937846876,0.32622745490981975
0.5659464621231777,0.30401176922756024,0.0678660532064387,0.062175715442823395,10000.0,0.9997837933157898,0.7748496993987976
0.2628113838810225,0.13789115003359353,0.3904410945123548,0.20885637157302908,10000.0,0.9999027466063247,0.4998997995991984
0.21550389287504684,0.05295625271809968,0.7285712168436058,0.002968637563247861,10000.0,0.9998059932537713,0.5001002004008017
0.3368039031823668,0.0015750918871814663,0.43733601893844154,0.22428498599201016,10000.0,0.9996867997552407,0.3099198396793587
0.5168101354898166,0.10181984053082871,0.19504547159621982,0.18632455238313497,10000.0,0.999809421312001,0.25175350701402804
0.5586300644918806,0.2390311787452841,0.1272822943814118,0.0750564623814235,10000.0,0.9996656441411143,0.35300601202404813
0.39589253698238097,0.40235502176874005,0.06516549983985012,0.13658694140902886,10000.0,0.9998913297400569,0.4998496993987976
0.46399747677691905,0.0030351445923267216,0.20422860825862602,0.32873877037212806,10000.0,0.9997677426920211,0.4998496993987976
0.525292487878473,0.22173735892321314,0.004132320564441092,0.24883783263387274,10000.0,0.9918687173301166,0.9920541082164328
0.005420383924929655,0.4484683736455677,0.42405464459884956,0.1220565978306531,10000.0,0.9999996724318658,0.4998496993987976
0.5531986349613075,0.06890749618890336,0.3739197669787123,0.003974101871076906,10000.0,0.9996058465301415,0.452189378757515
0.6109069888374066,0.19226584638748245,0.09026099129993777,0.10656617347517333,10000.0,0.9997039931899087,0.4999198396793587
0.3436002065729613,0.07453883899888046,0.38988402291293334,0.19197693151522496,10000.0,0.9997705765134891,0.4998496993987976
0.5370943329324083,0.3045351564924451,0.1316481621091502,0.026722348465996436,10000.0,0.9995244369576456,0.8866733466933867
0.19384715652435255,0.2343563910121331,0.2599045465997438,0.3118919058637706,10000.0,0.999922595778114,0.4998496993987976
0.20792838819210777,0.33661536904587325,0.25374708725528544,0.2017091555067337,10000.0,0.9999562910276406,0.4998997995991984
0.1876962405706142,0.5739632731226365,0.04011200747379176,0.1982284788329575,10000.0,0.999987618603461,0.4998496993987976
0.30690211577137133,0.025938047939697294,0.2214388463361519,0.4457209899527794,10000.0,0.9998859455142944,0.4998997995991984
0.5287847139606339,0.1529530277583783,0.1693393721518553,0.14892288612913254,10000.0,0.9997027713255185,0.30886773547094193
