,test_roc
0,0.757732696476352
0,0.6913615318204553
0,0.8067700628584791
0,0.8111299073908154
0,0.7996982352645473
0,0.795381763361323
0,0.8155266916088023
0,0.7830174139116315
0,0.7635323597615009
0,0.7635807394754724
0,0.8127959402688598
0,0.7676637353224437
0,0.7770949278296695
0,0.7201063438505106
0,0.8261509630116363
0,0.7692495222047301
0,0.7679723508110881
0,0.7846201121401316
0,0.8098040910071828
0,0.7717394029193891
0,0.8027221166055227
0,0.8050007712900253
0,0.8060458593265144
0,0.8157839761877635
0,0.8030221437830509
