,Value
d_dim1,2.0
d_dim2,1.0
d_dim3,0.0
g_dim1,1.0
g_dim2,1.0
g_dim3,0.0
tuned_val_roc,0.8402519087604355
untuned_val_roc,0.7972115378621167
