,Value
c_dim1,1.0
c_dim2,1.0
c_dim3,0.0
d_dim1,1.0
d_dim2,1.0
d_dim3,0.0
tuned_val_roc,0.9852146929831375
untuned_val_roc,0.9832243463063626
