data,untuned:class0,untuned:class1,tuned:class0,tuned:class1
adult,0.7893,0.21070000000000003,0.78406,0.21594000000000002
balanced_credit_card,0.71781,0.28219,0.73672,0.26328
encoded_adult,0.7553599999999999,0.24464000000000002,0.7838,0.2162
unbalanced_credit_card,0.99605,0.00395,0.99694,0.00306
